PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM,CLASS
JAWA TIMUR,BATU,67.472,77.107,30.327,95.982,56.171,62.245,95.820,77.092,93.832,39.947,80.681,83.371,Berkembang
JAWA TIMUR,BANYUWANGI,68.081,75.829,26.360,94.253,65.885,63.314,71.736,89.786,94.197,43.146,86.154,68.408,Berkembang
JAWA TIMUR,SIDOARJO,66.426,75.978,21.215,98.082,75.759,59.857,68.668,83.819,92.890,33.874,84.804,62.529,Berkembang
JAWA TIMUR,MADIUN,64.296,73.149,23.241,83.739,79.638,51.949,68.737,85.722,91.391,38.244,86.940,66.731,Berkembang
JAWA TIMUR,MAGETAN,66.951,72.568,18.811,85.801,81.395,45.990,73.563,83.813,87.633,34.889,88.803,61.785,Berkembang
JAWA TIMUR,JEMBER,71.058,74.888,23.687,90.393,55.675,51.403,64.220,89.390,92.514,39.042,81.450,70.763,Berkembang
JAWA TIMUR,MALANG,68.190,69.557,22.077,86.134,67.632,51.670,76.876,88.227,92.130,35.321,82.978,63.233,Berkembang
JAWA TIMUR,JOMBANG,68.795,72.591,20.970,91.343,77.740,49.741,68.502,83.165,92.542,27.702,77.159,68.112,Berkembang
JAWA TIMUR,GRESIK,69.454,69.919,19.690,87.334,82.815,51.031,62.874,89.190,93.173,33.587,79.123,64.445,Berkembang
JAWA TIMUR,MOJOKERTO,67.928,71.009,20.859,93.927,76.821,49.232,61.150,86.602,89.175,29.923,87.177,70.052,Berkembang
JAWA TIMUR,KEDIRI,64.227,72.675,20.649,93.352,77.329,47.242,63.344,86.421,92.787,32.834,89.569,54.607,Berkembang
JAWA TIMUR,TULUNGAGUNG,63.214,72.165,21.897,88.459,70.844,50.595,61.103,86.028,92.589,38.395,83.751,73.497,Berkembang
JAWA TIMUR,BOJONEGORO,66.560,64.527,16.900,91.009,80.912,45.551,70.214,89.721,94.452,33.022,83.401,71.584,Berkembang
JAWA TIMUR,LAMONGAN,72.617,69.518,18.442,90.425,76.411,43.446,58.818,89.989,97.311,28.318,84.852,66.059,Berkembang
JAWA TIMUR,BLITAR,65.475,70.079,19.014,81.172,72.394,48.418,62.243,89.318,94.872,39.899,83.526,67.625,Berkembang
JAWA TIMUR,NGANJUK,65.349,70.433,19.224,88.132,80.024,45.634,64.777,86.402,87.150,27.704,88.943,63.856,Berkembang
JAWA TIMUR,PONOROGO,69.089,67.662,20.170,75.261,73.182,45.506,69.300,86.539,89.130,32.979,86.849,71.605,Berkembang
JAWA TIMUR,NGAWI,65.877,70.307,23.634,78.714,74.594,49.020,59.210,84.286,92.351,35.987,88.128,68.830,Berkembang
JAWA TIMUR,PACITAN,66.968,66.169,19.432,68.953,63.280,39.616,77.489,90.165,98.537,33.846,78.247,67.163,Berkembang
JAWA TIMUR,TRENGGALEK,65.933,68.649,20.141,73.599,58.450,45.399,71.379,87.090,87.581,36.163,84.940,70.426,Berkembang
JAWA TIMUR,PROBOLINGGO,73.692,66.720,17.882,80.710,62.375,40.491,73.799,88.343,90.303,22.805,77.064,71.288,Berkembang
JAWA TIMUR,PASURUAN,68.174,67.109,18.179,91.277,65.422,46.390,75.103,87.476,91.885,29.019,67.379,55.127,Berkembang
JAWA TIMUR,TUBAN,62.906,63.067,18.272,89.688,78.803,45.369,63.755,89.437,92.175,31.661,82.584,62.978,Berkembang
JAWA TIMUR,SITUBONDO,68.713,67.399,21.011,86.898,57.064,45.494,65.150,87.879,84.417,25.165,72.524,61.461,Berkembang
JAWA TIMUR,PAMEKASAN,79.332,64.627,16.245,78.858,73.934,42.302,70.935,86.509,87.954,20.022,52.482,60.164,Berkembang
JAWA TIMUR,LUMAJANG,66.589,66.278,17.081,74.907,66.243,45.916,61.512,87.498,86.831,32.519,79.995,53.222,Berkembang
JAWA TIMUR,SUMENEP,74.540,58.393,17.512,69.947,63.031,38.111,69.081,88.068,92.941,22.494,68.398,71.796,Berkembang
JAWA TIMUR,SAMPANG,72.897,64.656,16.040,66.819,61.903,41.260,73.107,90.597,87.959,21.275,41.945,58.981,Berkembang
JAWA TIMUR,BONDOWOSO,71.079,66.926,15.091,79.333,46.382,39.449,65.617,82.515,90.868,20.191,74.424,55.825,Berkembang
JAWA TIMUR,BANGKALAN,63.016,61.343,15.391,72.979,66.939,43.157,68.733,86.795,93.143,13.682,38.197,54.180,Berkembang
