PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM,CLASS
KALIMANTAN SELATAN,TANAH LAUT,63.498,64.288,18.613,69.027,72.174,40.182,58.313,91.406,95.304,29.312,63.285,65.263,Berkembang
KALIMANTAN SELATAN,HULU SUNGAI SELATAN,67.056,64.685,17.193,77.986,59.006,40.559,68.550,82.871,97.788,19.767,66.815,66.419,Berkembang
KALIMANTAN SELATAN,TABALONG,70.282,53.867,18.657,70.521,63.026,34.661,61.463,86.390,98.468,34.168,61.647,57.645,Berkembang
KALIMANTAN SELATAN,TANAH BUMBU,62.905,47.974,16.421,60.843,67.786,39.828,63.934,91.166,99.068,28.966,69.530,70.705,Berkembang
KALIMANTAN SELATAN,TAPIN,56.663,57.258,15.926,78.371,66.422,36.831,63.798,83.679,94.639,21.738,62.427,62.891,Berkembang
KALIMANTAN SELATAN,HULU SUNGAI TENGAH,63.778,59.791,16.601,63.446,65.748,35.714,63.952,84.762,96.727,21.543,41.340,65.791,Berkembang
KALIMANTAN SELATAN,BARITO KUALA,68.611,56.438,13.639,79.138,38.315,38.252,63.142,89.625,97.725,19.618,56.218,64.761,Berkembang
KALIMANTAN SELATAN,HULU SUNGAI UTARA,67.861,57.167,13.813,70.422,63.470,38.996,60.056,81.957,94.734,14.611,48.875,67.493,Berkembang
KALIMANTAN SELATAN,BANJAR,61.795,58.827,15.091,75.208,40.548,37.715,67.666,89.435,92.825,19.967,56.379,48.240,Berkembang
KALIMANTAN SELATAN,BALANGAN,63.634,50.232,15.926,68.226,67.888,32.841,70.578,88.499,96.757,23.414,45.268,46.063,Berkembang
KALIMANTAN SELATAN,KOTABARU,55.786,44.365,15.230,56.488,57.114,34.915,60.777,88.939,97.961,33.951,66.194,47.422,Berkembang
