PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM,CLASS
MALUKU,AMBON,66.139,83.195,23.302,80.701,61.085,58.423,97.624,84.741,95.608,25.818,64.047,72.133,Berkembang
MALUKU,MALUKU TENGAH,67.687,55.043,11.510,48.480,56.629,33.674,68.904,89.023,83.311,21.489,56.175,54.972,Berkembang
MALUKU,BURU,58.117,49.085,12.916,44.159,53.791,27.536,72.194,87.352,82.826,26.723,64.506,66.244,Berkembang
MALUKU,SERAM BAGIAN BARAT,63.163,46.445,9.960,40.225,55.700,30.490,69.277,76.794,91.562,18.457,56.295,66.133,Berkembang
MALUKU,MALUKU TENGGARA BARAT,67.336,49.437,5.749,25.429,56.095,25.328,58.890,74.255,84.037,16.122,59.926,58.904,Tertinggal
MALUKU,MALUKU TENGGARA,56.611,51.291,6.732,34.515,55.764,22.670,66.356,83.811,91.556,10.229,34.540,49.725,Tertinggal
MALUKU,TUAL,58.426,52.629,7.595,35.046,55.246,26.309,58.753,70.873,94.427,12.269,23.149,49.076,Tertinggal
MALUKU,BURU SELATAN,60.371,36.479,7.619,30.618,43.709,13.682,47.469,78.540,96.855,19.399,45.261,52.555,Tertinggal
MALUKU,SERAM BAGIAN TIMUR,55.466,35.722,7.044,27.532,47.057,18.689,52.038,72.157,90.978,12.594,25.177,53.249,Tertinggal
MALUKU,MALUKU BARAT DAYA,53.829,31.780,5.685,26.565,47.273,7.112,38.432,68.414,74.386,16.485,56.326,57.265,Tertinggal
MALUKU,KEPULAUAN ARU,30.676,32.030,5.672,18.433,48.195,14.484,19.613,85.282,84.518,14.295,43.874,55.692,Tertinggal
