PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM,CLASS
PAPUA BARAT,MANOKWARI,38.320,39.339,5.011,34.401,51.095,21.858,76.284,85.755,95.915,10.545,43.786,55.101,Tertinggal
PAPUA BARAT,FAK FAK,35.764,41.318,7.040,33.189,36.674,14.846,59.147,82.076,90.339,10.324,35.848,56.732,Tertinggal
PAPUA BARAT,MANOKWARI SELATAN,41.033,25.193,6.903,23.216,47.660,18.769,69.164,69.883,92.752,14.241,33.516,57.544,Tertinggal
PAPUA BARAT,RAJA AMPAT,38.328,42.579,9.388,47.007,57.122,18.918,22.744,44.339,93.679,15.921,46.912,58.085,Tertinggal
PAPUA BARAT,SORONG SELATAN ,31.135,36.012,7.010,34.976,36.586,8.357,47.999,60.676,92.043,7.591,51.341,50.711,Tertinggal
PAPUA BARAT,SORONG,32.600,35.494,4.625,32.580,39.195,15.815,41.848,66.998,97.570,9.335,28.638,52.139,Tertinggal
PAPUA BARAT,TELUK WONDAMA,30.277,43.250,6.437,31.601,34.040,14.455,39.339,52.569,91.061,9.069,37.933,42.320,Tertinggal
PAPUA BARAT,TAMBRAUW,31.180,30.520,4.063,28.589,40.520,9.758,51.762,66.190,96.082,6.445,32.589,53.175,Tertinggal
PAPUA BARAT,KAIMANA,25.930,44.122,6.140,24.049,36.508,4.927,21.488,64.942,97.535,8.408,51.095,50.336,Tertinggal
PAPUA BARAT,MAYBRAT,30.951,26.171,4.406,31.455,37.964,9.919,53.331,58.212,97.802,6.325,46.921,53.575,Tertinggal
PAPUA BARAT,TELUK BINTUNI,38.051,31.121,7.616,39.867,40.621,16.595,35.927,52.734,88.449,10.933,39.897,47.860,Tertinggal
PAPUA BARAT,PEGUNUNGAN ARFAK,25.998,10.554,0.348,16.912,39.286,4.593,46.077,53.560,89.420,8.470,8.313,61.661,Tertinggal
