PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM,CLASS
SUMATERA SELATAN,PRABUMULIH,51.087,65.511,17.086,99.009,64.807,27.639,69.161,91.733,100.000,39.217,58.160,58.942,Berkembang
SUMATERA SELATAN,MUARA ENIM,53.476,53.638,15.925,78.642,58.952,35.376,72.883,94.819,95.036,40.372,64.325,62.942,Berkembang
SUMATERA SELATAN,MUSI BANYUASIN,56.158,54.887,15.287,79.122,64.968,35.585,62.288,96.095,97.610,44.049,61.788,59.682,Berkembang
SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,59.286,58.216,13.302,77.319,66.568,39.056,55.438,90.987,97.336,30.206,70.347,70.309,Berkembang
SUMATERA SELATAN,MUSI RAWAS UTARA,51.463,57.382,12.651,73.332,50.371,35.247,74.356,92.919,95.770,35.899,51.491,67.904,Berkembang
SUMATERA SELATAN,LAHAT,55.677,56.361,12.447,77.744,55.037,37.408,74.406,91.281,95.844,29.137,49.509,64.318,Berkembang
SUMATERA SELATAN,OGAN KOMERING ULU,54.942,53.308,15.052,71.714,56.709,36.314,64.223,92.116,94.580,39.303,57.376,59.313,Berkembang
SUMATERA SELATAN,OGAN ILIR,59.006,53.695,11.187,81.120,50.927,38.608,67.643,89.461,96.884,27.703,45.354,65.928,Berkembang
SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,47.499,48.833,18.064,80.724,55.124,35.906,57.988,94.221,94.978,42.335,63.843,55.507,Berkembang
SUMATERA SELATAN,BANYUASIN,53.883,48.765,13.433,65.580,40.420,36.345,57.904,93.370,98.918,36.098,68.593,65.139,Berkembang
SUMATERA SELATAN,EMPAT LAWANG,56.852,50.274,12.089,80.198,42.852,37.705,75.995,88.977,96.144,26.998,22.221,55.997,Berkembang
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,51.895,44.425,11.059,38.336,47.048,30.116,70.519,90.257,97.531,30.633,49.964,61.130,Berkembang
