PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM
ACEH,ACEH TENGAH,58.965,50.359,12.553,69.783,59.121,37.905,69.662,72.548,95.309,19.912,47.816,64.611
ACEH,BANDA ACEH,64.364,78.633,34.751,99.220,96.097,61.413,76.776,63.677,93.766,26.044,71.068,65.116
ACEH,LHOKSEUMAWE,67.654,75.866,23.300,92.214,80.204,50.566,75.804,78.388,84.695,30.518,62.742,71.531
ACEH,SABANG,62.687,71.782,33.537,94.768,79.796,50.882,59.813,75.868,98.275,31.763,64.231,57.561
ACEH,LANGSA,63.063,71.198,18.551,94.787,86.163,50.933,78.053,69.870,95.338,33.735,50.019,55.221
ACEH,ACEH TIMUR,54.815,56.884,13.375,65.958,64.672,34.026,56.616,87.084,98.186,19.504,42.751,51.536
ACEH,SIMEULUE,69.011,67.822,12.361,45.765,54.940,34.327,62.077,88.455,92.381,25.674,58.581,64.493
ACEH,ACEH TAMIANG,63.121,58.269,15.180,82.591,75.363,39.035,55.096,86.178,92.767,26.759,48.097,66.647
ACEH,ACEH BESAR,57.667,60.863,12.863,81.778,72.378,39.600,59.879,88.121,90.580,14.792,44.930,70.796
ACEH,ACEH BARAT DAYA,64.048,60.302,12.740,73.497,53.986,40.832,70.839,79.331,89.178,23.763,37.457,55.942
ACEH,PIDIE JAYA,58.743,61.407,13.210,81.141,62.546,37.839,61.140,82.187,96.463,16.771,29.379,63.534
ACEH,BIREUEN,57.853,58.345,11.491,77.177,67.532,36.836,56.067,85.807,94.114,17.454,35.972,69.577
ACEH,ACEH SINGKIL,64.879,57.811,13.785,53.678,62.233,38.075,59.385,87.176,91.194,22.524,43.545,59.486
ACEH,PIDIE,56.451,60.404,12.146,69.551,59.325,37.650,58.935,82.680,97.209,16.478,24.536,69.031
ACEH,ACEH JAYA,63.144,47.197,15.315,77.118,59.676,36.519,57.862,92.060,98.769,18.900,43.349,53.835
ACEH,NAGAN RAYA,58.160,51.827,12.282,60.769,56.807,38.508,56.688,86.484,90.784,21.815,50.297,63.226
ACEH,BENER MERIAH,61.008,57.760,10.942,59.815,57.550,36.606,57.041,83.635,95.140,18.290,28.131,65.674
ACEH,ACEH SELATAN,62.722,49.824,12.993,60.029,53.913,38.237,64.693,86.217,93.457,21.833,37.195,57.851
ACEH,ACEH TENGGARA,56.097,53.616,13.297,56.178,49.954,42.688,73.740,80.385,100.000,7.490,33.732,67.077
ACEH,SUBULUSSALAM,62.396,46.752,11.847,63.904,56.817,42.371,57.394,85.842,88.305,23.131,45.630,61.761
ACEH,ACEH UTARA,57.110,53.500,12.072,69.341,62.701,35.941,51.122,89.597,96.088,17.351,40.699,43.235
ACEH,GAYO LUES,55.281,51.268,12.296,60.387,43.099,29.148,71.248,77.450,94.650,13.728,30.095,56.795
ACEH,ACEH BARAT,56.018,43.772,12.362,56.076,57.769,35.961,54.853,89.008,93.152,20.047,34.371,60.076
