PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM
JAWA BARAT,BEKASI,66.392,71.197,21.492,85.505,73.505,52.894,78.059,86.107,92.313,42.702,79.207,71.234
JAWA BARAT,BANJAR,65.037,72.042,17.511,81.392,63.725,49.518,75.216,85.221,92.238,46.922,78.433,73.001
JAWA BARAT,BANDUNG,68.316,72.717,20.303,87.854,68.778,52.531,79.013,81.767,90.771,48.030,76.716,69.885
JAWA BARAT,BOGOR,67.978,71.690,22.620,90.310,67.020,53.678,81.554,86.025,90.227,41.458,77.522,67.274
JAWA BARAT,INDRAMAYU,66.571,72.036,21.017,90.107,77.939,53.923,76.789,84.681,89.874,40.327,81.067,66.940
JAWA BARAT,CIAMIS,66.656,69.563,19.281,89.658,69.296,51.328,76.386,84.964,91.669,41.945,81.042,68.454
JAWA BARAT,SUBANG,65.125,69.960,20.862,88.337,71.279,51.808,77.035,85.294,90.491,43.027,79.136,69.053
JAWA BARAT,BANDUNG BARAT,66.672,68.074,20.157,80.725,67.103,49.295,76.189,87.196,92.413,44.382,76.831,70.621
JAWA BARAT,SUMEDANG,63.015,69.031,18.774,85.799,68.940,50.225,75.087,84.693,90.888,41.788,79.215,69.047
JAWA BARAT,KARAWANG,64.776,72.050,21.511,90.027,74.701,54.711,75.823,85.263,92.029,38.879,77.824,65.781
JAWA BARAT,TASIKMALAYA,68.269,69.210,19.023,88.703,66.621,47.605,80.651,85.323,91.156,40.242,79.425,63.595
JAWA BARAT,MAJALENGKA,65.816,68.542,19.704,90.420,68.384,50.524,79.022,85.916,90.981,39.670,80.619,65.118
JAWA BARAT,PURWAKARTA  ,65.305,71.086,18.493,89.318,73.338,52.831,75.713,86.398,91.978,38.712,75.321,66.036
JAWA BARAT,KUNINGAN,65.077,70.488,19.052,90.645,73.515,51.663,77.921,82.846,89.686,39.272,80.920,65.271
JAWA BARAT,PANGANDARAN,66.281,65.958,21.505,84.418,70.450,48.349,74.435,86.839,90.877,41.919,81.816,67.357
JAWA BARAT,SUKABUMI,65.279,66.916,19.156,81.350,64.686,48.802,78.952,87.378,88.534,39.852,76.827,69.661
JAWA BARAT,GARUT,67.577,65.710,17.512,80.310,62.516,47.687,76.760,85.317,92.521,42.968,80.012,62.085
JAWA BARAT,CIANJUR,64.155,64.775,18.207,74.118,63.455,47.165,76.919,86.745,92.856,43.474,76.991,69.657
