PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM
JAMBI,MUARO JAMBI,62.746,69.759,16.815,84.057,66.510,42.560,58.235,94.718,95.829,43.665,71.626,71.174
JAMBI,BUNGO,60.487,62.618,15.234,65.713,52.768,35.981,75.553,93.616,98.679,39.252,64.526,70.299
JAMBI,SUNGAI PENUH,64.623,65.424,15.567,63.820,85.482,43.760,68.329,66.912,94.268,29.904,61.561,76.248
JAMBI,BATANGHARI,61.858,64.908,14.258,61.663,64.140,38.348,58.091,94.870,96.676,39.342,72.144,68.772
JAMBI,TEBO,61.574,58.337,19.804,57.971,61.924,37.543,61.265,94.769,98.008,48.224,62.975,66.993
JAMBI,KERINCI,62.304,59.346,13.283,57.182,69.845,42.822,78.042,79.874,96.259,30.922,51.991,79.201
JAMBI,TANJUNG JABUNG TIMUR,60.685,64.506,14.626,57.223,43.025,34.642,62.727,94.699,98.440,47.397,66.616,68.275
JAMBI,MERANGIN,60.785,59.675,15.301,55.435,49.673,32.986,66.539,93.101,92.947,39.695,61.008,54.154
JAMBI,SAROLANGUN,66.504,52.716,12.464,53.219,57.069,34.048,68.624,90.488,95.582,37.725,54.462,68.753
JAMBI,TANJUNG JABUNG BARAT,60.976,54.548,18.148,57.144,45.687,29.509,57.352,94.734,97.629,42.200,52.674,48.957
