PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM
JAWA TENGAH,KUDUS,68.849,76.351,25.140,97.367,75.463,59.187,78.372,80.126,98.654,36.205,86.920,68.005
JAWA TENGAH,SUKOHARJO,65.640,75.846,23.749,93.367,76.766,57.294,72.755,85.363,92.203,42.565,89.008,77.097
JAWA TENGAH,SRAGEN,65.013,74.350,22.665,79.949,77.790,55.431,77.718,81.455,94.761,36.254,86.291,75.716
JAWA TENGAH,KARANGANYAR,64.183,74.702,24.755,82.392,72.319,49.782,69.441,86.829,91.672,46.097,85.470,68.030
JAWA TENGAH,JEPARA,68.921,71.437,20.767,93.001,70.577,54.321,74.764,84.686,90.093,41.372,82.492,65.591
JAWA TENGAH,BOYOLALI,67.307,70.785,21.022,79.501,66.151,43.848,75.601,88.873,95.846,37.670,86.310,71.835
JAWA TENGAH,KENDAL,65.379,69.783,17.333,89.315,71.790,48.758,79.883,85.927,91.526,34.738,87.810,70.238
JAWA TENGAH,BANYUMAS,63.487,69.516,20.105,89.738,65.473,49.898,82.067,85.411,93.180,35.130,89.601,63.979
JAWA TENGAH,DEMAK,68.469,72.786,15.239,92.200,81.979,43.592,67.028,87.727,96.440,29.113,85.336,67.922
JAWA TENGAH,CILACAP,62.024,68.543,21.531,90.288,66.531,50.830,75.654,90.104,92.254,37.747,86.970,62.764
JAWA TENGAH,BREBES,63.002,69.958,17.183,92.535,70.611,49.854,76.244,90.059,89.616,32.619,80.899,69.619
JAWA TENGAH,SEMARANG,66.110,71.695,18.142,83.197,63.085,49.686,80.440,89.272,89.585,30.136,85.154,61.313
JAWA TENGAH,GROBOGAN,66.786,68.371,19.048,86.846,74.414,44.065,63.845,90.231,99.333,30.450,92.213,71.257
JAWA TENGAH,KLATEN,67.791,74.235,21.369,86.964,69.332,48.461,59.443,84.568,96.843,35.140,84.869,64.846
JAWA TENGAH,PEMALANG,61.221,68.697,15.620,87.978,67.569,47.199,77.726,87.657,91.685,39.469,83.506,65.710
JAWA TENGAH,PURBALINGGA,65.573,69.621,17.560,92.500,68.374,42.343,79.353,83.750,90.379,34.628,83.132,55.686
JAWA TENGAH,TEGAL,64.420,70.618,16.234,91.968,69.822,50.621,76.493,80.831,91.210,29.751,78.609,71.931
JAWA TENGAH,PATI,65.566,68.431,18.970,92.544,80.165,46.329,64.930,86.315,92.913,33.641,83.362,54.363
JAWA TENGAH,WONOGIRI,61.658,73.563,17.706,70.168,63.545,44.195,65.374,91.737,93.406,37.306,80.162,62.938
JAWA TENGAH,TEMANGGUNG,64.428,67.635,13.533,78.091,61.701,42.951,79.306,86.310,90.981,33.582,84.951,56.353
JAWA TENGAH,REMBANG,64.295,65.802,16.989,85.271,74.360,41.796,73.448,89.434,86.952,25.621,78.460,55.685
JAWA TENGAH,KEBUMEN,64.998,68.358,16.559,86.838,65.247,44.197,70.017,85.623,93.842,23.779,84.683,55.437
JAWA TENGAH,BATANG,65.330,66.420,15.557,78.091,63.130,43.326,72.088,86.717,95.742,33.846,83.161,57.064
JAWA TENGAH,BANJARNEGARA,62.856,65.359,17.344,78.510,50.886,39.633,79.286,88.262,91.638,34.930,84.391,62.232
JAWA TENGAH,PEKALONGAN,62.542,66.814,14.365,85.205,64.465,45.233,70.644,82.870,90.871,32.087,84.011,64.342
JAWA TENGAH,WONOSOBO,62.849,64.645,14.451,76.365,60.349,42.826,75.726,87.817,90.025,32.568,87.293,61.615
JAWA TENGAH,MAGELANG,65.015,67.522,17.953,76.546,58.278,39.253,73.721,86.476,92.767,28.582,75.580,54.505
JAWA TENGAH,BLORA,62.714,66.049,15.443,83.144,71.960,40.553,57.433,89.630,93.611,26.879,77.493,60.715
JAWA TENGAH,PURWOREJO,60.180,65.127,13.361,75.110,64.468,39.854,71.418,88.508,92.716,23.555,78.313,59.290
