PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM
KALIMANTAN BARAT,SAMBAS,59.615,57.118,18.584,84.538,38.520,40.615,65.599,90.512,90.739,40.860,62.263,56.504
KALIMANTAN BARAT,MEMPAWAH,68.697,56.690,16.707,77.432,35.545,42.163,70.159,88.185,89.564,39.554,56.306,54.075
KALIMANTAN BARAT,KUBU RAYA,59.750,58.968,16.547,68.225,28.430,36.994,59.740,87.172,95.772,42.009,60.542,65.417
KALIMANTAN BARAT,KAYONG UTARA,63.195,59.654,15.799,55.507,42.599,35.571,61.847,87.085,92.273,38.163,63.525,46.708
KALIMANTAN BARAT,SEKADAU,49.755,56.163,13.959,41.457,45.716,29.760,48.475,90.830,96.647,32.833,53.448,67.450
KALIMANTAN BARAT,SANGGAU,45.131,50.817,13.540,51.926,42.494,32.013,58.513,94.467,96.031,32.482,60.161,53.579
KALIMANTAN BARAT,BENGKAYANG,42.936,51.565,12.378,50.591,40.789,29.353,62.823,91.823,92.325,26.490,46.430,59.480
KALIMANTAN BARAT,LANDAK,47.170,50.438,12.877,40.860,36.242,27.574,58.633,93.937,90.303,27.250,49.315,61.155
KALIMANTAN BARAT,KETAPANG,47.252,46.266,11.532,47.291,51.062,25.557,45.945,92.952,93.485,31.035,62.940,39.262
KALIMANTAN BARAT,KAPUAS HULU,45.472,42.812,12.003,47.984,40.676,25.221,49.547,89.548,92.959,26.487,54.435,67.325
KALIMANTAN BARAT,MELAWI,47.192,37.430,9.315,39.309,38.447,22.008,45.537,84.206,95.241,28.244,64.947,67.385
KALIMANTAN BARAT,SINTANG,36.256,37.258,10.778,41.815,46.378,20.956,42.059,92.187,94.858,28.806,56.710,67.246
