PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM
KALIMANTAN TENGAH,KOTAWARINGIN BARAT,55.966,67.108,14.758,62.315,65.450,35.838,53.535,96.118,96.073,46.824,73.226,66.865
KALIMANTAN TENGAH,SUKAMARA,58.171,65.853,16.313,47.031,66.110,32.906,52.545,94.146,90.012,39.543,59.222,60.416
KALIMANTAN TENGAH,PULANG PISAU  ,67.617,60.241,14.597,42.787,47.166,34.440,63.318,91.280,96.731,39.045,67.702,62.700
KALIMANTAN TENGAH,BARITO TIMUR,59.978,58.200,16.104,53.284,69.566,28.894,54.669,93.149,96.851,28.931,68.076,48.840
KALIMANTAN TENGAH,LAMANDAU,60.584,63.471,12.745,34.688,45.690,20.931,49.259,90.282,95.128,30.294,70.533,59.249
KALIMANTAN TENGAH,BARITO SELATAN,65.621,52.967,15.546,39.428,37.883,29.347,52.054,93.197,94.824,35.535,64.399,66.467
KALIMANTAN TENGAH,BARITO UTARA,50.571,61.321,14.365,29.562,34.089,23.817,50.639,89.457,91.390,39.556,69.025,59.185
KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,49.104,54.356,12.061,37.315,45.794,28.507,47.700,92.679,91.288,30.679,63.854,63.408
KALIMANTAN TENGAH,KAPUAS,57.997,48.093,14.116,40.291,39.139,27.838,45.275,91.177,91.963,28.119,55.186,59.052
KALIMANTAN TENGAH,SERUYAN,42.422,44.825,11.114,44.537,44.551,25.141,47.761,92.755,97.774,31.838,58.122,61.651
KALIMANTAN TENGAH,KATINGAN,54.252,55.785,10.986,34.058,40.581,18.480,36.373,91.932,91.369,30.706,41.644,64.833
KALIMANTAN TENGAH,MURUNG RAYA,60.830,57.518,9.244,30.266,26.187,17.378,39.132,78.858,91.782,28.325,53.558,62.725
KALIMANTAN TENGAH,GUNUNG MAS,52.957,41.177,9.309,32.663,37.315,20.220,46.267,89.219,96.490,16.578,61.957,62.993
