PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM
LAMPUNG,LAMPUNG TENGAH,66.864,64.951,18.065,80.379,67.955,42.986,66.336,91.237,94.301,45.223,74.153,59.221
LAMPUNG,LAMPUNG TIMUR,67.037,69.254,17.464,79.206,68.877,42.856,60.336,91.115,97.060,38.764,69.934,61.733
LAMPUNG,LAMPUNG SELATAN,64.972,67.000,17.317,83.243,64.737,42.437,64.901,90.463,95.569,35.232,69.325,67.674
LAMPUNG,PRINGSEWU,65.425,69.519,15.167,72.276,65.805,40.683,59.514,85.319,90.529,36.881,72.220,69.779
LAMPUNG,TULANG BAWANG BARAT,65.946,64.765,17.321,74.098,67.430,35.864,49.282,93.420,97.997,42.774,63.780,68.990
LAMPUNG,TULANG BAWANG,62.861,62.561,19.998,65.686,65.776,37.107,57.983,93.453,96.879,41.439,64.571,68.683
LAMPUNG,PESAWARAN,62.862,64.574,14.486,67.425,64.407,38.357,60.177,88.350,95.858,34.269,60.347,59.783
LAMPUNG,WAY KANAN,63.361,56.657,14.071,58.315,66.777,35.807,64.056,94.930,97.109,39.717,54.968,69.702
LAMPUNG,MESUJI,61.405,54.014,17.611,51.803,61.610,33.730,53.054,92.542,96.465,42.667,66.632,68.573
LAMPUNG,LAMPUNG UTARA,59.503,59.609,12.743,52.887,66.096,36.149,60.861,91.027,98.947,30.101,44.613,66.173
LAMPUNG,TANGGAMUS,58.843,59.181,12.416,61.010,53.863,35.870,65.138,87.788,96.270,28.588,51.793,69.152
LAMPUNG,LAMPUNG BARAT,59.793,53.917,13.098,50.044,60.349,37.105,52.919,87.613,99.842,39.517,46.335,51.336
LAMPUNG,PESISIR BARAT,56.625,48.420,13.572,36.213,56.769,35.801,61.379,84.735,100.000,35.552,34.763,46.633
