PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM
NTT,KUPANG,64.951,69.071,5.950,28.797,61.865,28.507,70.060,89.109,81.997,13.021,72.369,56.257
NTT,SIKKA,52.358,53.135,8.104,28.930,47.953,31.939,80.350,87.384,77.257,14.418,71.836,61.419
NTT,NGADA,58.026,40.869,6.745,34.452,62.435,30.335,81.387,88.099,86.272,14.756,75.575,53.189
NTT,ROTE NDAO,53.850,60.036,7.058,33.927,55.692,25.477,59.535,89.635,80.969,7.845,67.800,56.441
NTT,TIMOR TENGAH UTARA,50.645,49.181,7.277,24.406,59.116,24.845,75.469,91.439,79.328,15.252,71.009,60.951
NTT,FLORES TIMUR,63.440,43.996,6.349,33.316,52.097,30.096,77.925,84.863,80.141,18.090,68.084,56.178
NTT,SABU RAIJUA,50.938,69.602,5.380,14.414,63.885,24.859,48.526,78.622,66.585,8.952,62.917,67.440
NTT,NAGEKEO,53.292,43.643,5.077,31.680,51.152,32.460,69.379,89.462,89.418,19.791,69.270,66.228
NTT,LEMBATA,57.249,38.235,8.658,30.513,48.427,29.960,84.444,89.818,72.320,12.637,71.432,64.252
NTT,MANGGARAI,46.409,45.698,5.554,24.265,51.381,30.998,85.386,91.280,92.048,11.193,48.541,65.549
NTT,BELU,52.171,47.134,6.814,22.596,58.195,24.355,76.228,90.994,69.866,14.145,55.919,63.944
NTT,ENDE,49.119,36.970,6.856,29.663,51.734,25.733,73.253,90.909,85.311,13.069,68.935,55.599
NTT,MALAKA,55.270,42.186,5.924,20.620,50.841,31.715,70.824,84.949,61.958,11.530,58.815,66.837
NTT,MANGGARAI TIMUR,51.713,40.421,5.218,17.517,50.479,26.268,68.921,92.853,85.547,16.637,53.090,56.787
NTT,SUMBA TIMUR,39.288,44.979,6.545,18.532,43.155,24.615,76.384,87.070,86.658,11.013,72.111,41.234
NTT,SUMBA BARAT,55.882,39.935,6.826,15.884,42.858,32.536,76.870,89.228,88.006,5.365,46.290,61.908
NTT,ALOR,60.447,37.096,7.108,21.803,47.984,22.128,60.718,84.306,78.811,13.204,75.512,58.864
NTT,SUMBA BARAT DAYA,55.266,44.429,4.559,15.968,43.085,29.055,57.981,89.282,87.815,7.768,53.258,59.352
NTT,KAB TIMOR TENGAH SELATAN,59.112,31.633,6.812,18.400,53.014,26.982,72.258,89.621,77.828,11.329,60.913,48.280
NTT,MANGGARAI BARAT,46.588,31.889,5.934,23.600,58.197,27.593,67.766,90.988,75.017,16.718,48.907,63.371
NTT,SUMBA TENGAH,47.073,38.442,4.495,20.824,44.642,25.330,65.230,84.699,85.190,11.762,60.832,48.193
