PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM
PAPUA,JAYAPURA,47.746,46.016,8.963,49.680,50.212,30.006,64.096,79.703,90.557,19.035,51.283,62.369
PAPUA,SUPIORI,46.472,51.612,7.929,35.312,56.032,17.301,61.618,82.558,98.638,14.428,45.068,55.685
PAPUA,NABIRE,41.300,56.178,8.155,31.523,51.664,23.730,54.206,77.465,80.791,16.976,54.728,59.945
PAPUA,MERAUKE,38.802,60.097,9.586,34.088,48.128,15.800,42.910,74.251,92.801,17.854,50.191,57.437
PAPUA,BIAK NUMFOR,44.931,32.133,5.739,35.850,58.034,23.300,72.645,81.361,92.045,13.259,31.670,52.196
PAPUA,KEEROM,39.054,46.144,8.966,30.453,32.048,18.743,49.047,69.645,95.564,15.868,43.676,55.824
PAPUA,PANIAI,32.219,41.153,6.389,14.383,38.958,8.748,53.387,57.346,89.417,14.981,41.149,48.261
PAPUA,KEPULAUAN YAPEN,35.475,34.770,7.999,22.415,49.932,14.395,42.065,72.312,92.920,12.848,16.691,52.658
PAPUA,SARMI,32.511,32.122,5.710,31.440,43.275,9.647,47.571,67.930,93.024,7.807,36.494,49.782
PAPUA,JAYAWIJAYA,30.599,28.873,3.343,13.634,23.241,19.870,52.550,61.883,94.644,5.924,53.254,53.951
PAPUA,LANNY JAYA,38.535,31.409,3.471,13.972,38.141,10.627,37.321,54.484,98.460,11.374,41.002,56.361
PAPUA,DEIYAI,37.243,36.882,4.043,10.903,28.012,12.511,39.257,39.075,88.661,18.308,45.261,56.932
PAPUA,WAROPEN,32.094,32.313,7.093,27.329,39.048,10.037,39.822,57.147,72.435,8.813,34.165,53.201
PAPUA,DOGIYAI,26.890,34.971,3.825,17.415,37.518,20.474,39.128,36.421,83.557,16.313,53.349,50.985
PAPUA,MIMIKA,28.888,32.324,6.346,25.311,33.946,13.303,38.961,52.476,94.106,11.083,40.423,42.978
PAPUA,MAMBERAMO TENGAH,23.777,31.481,0.845,16.149,25.077,0.815,46.481,36.244,84.561,9.750,44.722,56.475
PAPUA,BOVEN DIGOEL,20.618,22.873,5.491,31.224,33.385,2.697,30.532,74.566,97.412,8.518,30.177,43.358
PAPUA,MAPPI,17.295,29.444,3.530,10.605,42.387,3.044,18.425,73.078,96.881,8.307,31.782,39.902
PAPUA,YALIMO,32.869,22.662,5.687,12.698,17.822,6.308,47.676,54.656,99.723,2.418,25.007,45.337
PAPUA,ASMAT,15.434,31.893,4.220,16.977,15.166,8.776,13.740,76.353,97.467,9.181,27.386,37.249
PAPUA,MAMBERAMO RAYA,22.252,29.098,5.596,14.796,26.536,4.602,21.244,46.102,96.699,9.087,36.022,43.593
PAPUA,YAHUKIMO,14.039,21.157,1.391,7.659,31.334,3.627,29.408,56.198,94.609,3.861,29.206,44.306
PAPUA,INTAN JAYA,26.178,17.729,2.407,9.192,42.213,2.281,31.313,33.616,95.728,8.760,21.582,42.763
PAPUA,PUNCAK JAYA,6.749,16.936,1.849,7.245,32.804,3.799,38.112,49.238,94.714,5.433,27.801,49.193
PAPUA,KAB PEGUNUNGAN BINTANG,15.675,11.482,3.486,11.125,29.979,1.983,27.788,31.515,95.814,6.875,44.477,43.263
PAPUA,PUNCAK,14.078,16.913,2.055,8.060,29.748,7.579,29.310,10.745,100.000,3.059,50.132,32.401
PAPUA,TOLIKARA,8.487,8.876,0.989,9.221,32.059,6.511,33.449,32.775,91.869,1.958,24.928,46.728
PAPUA,NDUGA,13.148,14.859,0.482,7.177,26.714,1.009,26.093,27.115,99.040,2.540,20.699,37.547
