PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM
RIAU,ROKAN HULU,64.939,69.518,19.666,62.004,60.676,46.679,66.456,93.746,93.703,46.818,74.279,72.952
RIAU,KAMPAR,63.432,68.152,19.549,77.812,65.032,42.428,57.486,93.024,89.515,44.676,69.876,68.975
RIAU,SIAK,64.740,65.057,19.816,73.161,64.702,42.585,51.061,92.342,91.514,47.100,62.486,62.791
RIAU,INDRAGIRI HULU,57.929,65.906,14.251,73.586,64.562,39.795,56.239,90.792,96.165,40.052,66.471,66.069
RIAU,ROKAN HILIR,68.966,60.768,17.168,70.246,62.732,43.383,61.743,90.976,94.406,40.546,52.904,70.266
RIAU,KUANTAN SINGINGI,64.022,61.671,17.029,68.559,58.695,42.387,55.471,92.485,95.096,40.430,63.921,69.726
RIAU,PELALAWAN,54.272,57.224,16.999,67.288,67.187,39.624,54.205,97.190,98.382,47.885,66.520,68.040
RIAU,BENGKALIS,66.549,53.155,16.452,73.240,51.249,42.852,57.402,94.348,95.435,34.629,43.952,41.855
RIAU,INDRAGIRI HILIR,57.582,53.412,17.918,53.680,37.686,35.816,51.814,95.613,96.123,44.660,61.906,66.789
RIAU,KEPULAUAN MERANTI,66.221,41.854,12.221,51.688,47.820,33.608,48.447,91.148,91.928,35.742,56.507,57.213
