PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM
SULAWESI SELATAN,SOPPENG,65.901,68.849,13.699,90.467,70.592,44.662,88.137,92.509,91.340,40.296,76.647,80.004
SULAWESI SELATAN,SINJAI,69.481,72.301,15.974,72.563,63.059,37.637,84.832,93.094,93.291,32.422,75.283,70.037
SULAWESI SELATAN,BARRU,66.707,69.708,12.596,81.338,66.905,43.685,86.186,91.746,93.084,28.806,68.112,76.805
SULAWESI SELATAN,SIDENRENG RAPPANG,60.098,65.824,12.876,89.374,75.804,40.806,82.201,90.102,92.699,34.482,72.085,76.355
SULAWESI SELATAN,TAKALAR,68.610,74.744,12.814,83.858,78.535,41.187,73.567,82.926,94.264,17.362,66.297,80.738
SULAWESI SELATAN,GOWA ,66.339,72.377,13.218,80.652,69.363,37.635,72.814,91.098,96.881,24.242,69.907,77.512
SULAWESI SELATAN,JENEPONTO,69.872,67.957,10.594,85.859,65.007,38.408,85.872,88.393,91.281,21.381,65.343,78.930
SULAWESI SELATAN,BULUKUMBA,70.720,62.286,11.706,76.358,65.559,36.132,89.765,95.464,93.205,26.968,63.931,77.435
SULAWESI SELATAN,PINRANG,60.360,64.778,13.873,86.959,73.688,38.616,71.744,92.063,97.000,34.909,57.585,78.612
SULAWESI SELATAN,WAJO,61.695,55.245,13.168,84.185,75.764,40.953,82.700,92.619,93.356,26.667,70.012,79.863
SULAWESI SELATAN,BANTAENG,64.361,64.441,11.733,80.868,54.676,35.536,88.075,84.973,96.941,19.788,67.194,73.220
SULAWESI SELATAN,LUWU TIMUR,63.033,58.140,16.995,64.219,70.635,42.881,81.783,91.950,95.884,26.171,63.951,68.520
SULAWESI SELATAN,MAROS ,67.479,59.153,14.321,86.898,56.397,41.201,75.932,84.812,93.654,22.713,63.287,77.653
SULAWESI SELATAN,ENREKANG,63.358,63.653,9.712,71.862,56.081,35.675,73.989,92.225,96.249,31.667,62.462,63.614
SULAWESI SELATAN,KEPULAUAN SELAYAR,68.839,65.055,13.117,64.680,54.483,31.513,65.232,88.306,92.967,30.917,69.553,73.829
SULAWESI SELATAN,BONE,65.813,49.778,11.824,80.350,62.841,36.585,73.765,92.938,96.591,25.316,65.228,78.211
SULAWESI SELATAN,LUWU UTARA,64.104,54.264,12.629,69.594,67.665,35.059,72.468,89.075,92.555,27.313,59.195,70.244
SULAWESI SELATAN,LUWU,62.353,57.855,9.307,59.774,58.303,33.581,66.898,87.973,92.664,23.188,61.314,71.830
SULAWESI SELATAN,PANGKAJENE KEPULAUAN,60.935,62.563,11.262,72.888,54.755,26.879,49.097,82.222,96.975,24.665,60.607,70.036
SULAWESI SELATAN,TORAJA UTARA,58.871,53.508,7.400,41.833,57.657,31.237,70.663,80.738,95.867,7.166,64.848,72.341
SULAWESI SELATAN,TANA TORAJA,58.439,44.880,10.177,40.251,55.600,31.733,59.816,87.554,94.074,15.867,59.663,73.773
