PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM
SULAWESI TENGAH,TOLI TOLI,63.381,59.576,14.780,50.057,59.190,33.001,80.504,93.585,90.021,31.859,74.763,66.469
SULAWESI TENGAH,BUOL,70.287,59.453,12.016,39.447,64.913,26.856,78.481,89.535,85.994,27.199,60.146,69.260
SULAWESI TENGAH,PARIGI MOUTONG,65.137,51.361,15.614,62.863,55.007,40.332,77.127,91.459,92.302,33.477,55.886,72.605
SULAWESI TENGAH,DONGGALA,67.844,48.471,13.201,49.863,59.072,32.561,77.619,92.010,89.560,34.820,64.007,67.798
SULAWESI TENGAH,POSO,64.042,50.364,12.600,55.463,58.086,33.205,76.768,91.623,93.479,24.893,61.061,70.323
SULAWESI TENGAH,BANGGAI,59.853,49.156,10.163,48.987,63.850,31.919,84.692,91.685,93.294,24.699,56.867,68.840
SULAWESI TENGAH,SIGI,60.292,49.028,10.797,61.261,48.490,32.073,69.910,88.877,92.528,28.009,57.690,63.388
SULAWESI TENGAH,MOROWALI UTARA,60.511,44.028,12.220,43.886,60.699,28.155,64.146,90.569,93.664,28.379,62.571,65.903
SULAWESI TENGAH,BANGGAI KEPULAUAN,63.989,43.138,12.300,35.477,52.862,22.765,75.075,92.625,90.634,26.074,55.575,68.625
SULAWESI TENGAH,MOROWALI,60.760,41.481,13.830,52.720,57.367,28.219,58.730,90.697,92.009,22.425,59.434,65.208
SULAWESI TENGAH,TOJO UNA UNA,59.342,40.163,13.847,55.950,49.172,26.232,63.941,91.902,95.674,27.804,57.819,57.677
SULAWESI TENGAH,BANGGAI LAUT,67.136,45.669,11.656,37.246,57.224,13.455,60.741,86.371,84.851,32.504,38.462,69.207
