PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM
SULAWESI TENGGARA,KOLAKA,68.457,50.883,12.592,51.198,61.323,32.264,75.073,93.100,96.805,21.515,67.907,76.841
SULAWESI TENGGARA,MUNA,73.460,57.065,13.188,39.707,57.079,34.740,73.191,83.534,92.216,17.554,65.928,71.298
SULAWESI TENGGARA,BUTON,71.199,46.569,11.163,41.208,56.055,32.376,86.579,93.897,89.617,19.079,69.488,51.623
SULAWESI TENGGARA,BUTON TENGAH,73.684,41.647,10.762,40.899,71.056,31.203,68.254,92.753,95.056,20.325,70.183,62.990
SULAWESI TENGGARA,KONAWE,62.562,47.902,10.573,44.631,63.091,34.913,69.585,90.200,98.122,16.567,58.742,70.275
SULAWESI TENGGARA,KOLAKA UTARA,65.021,43.691,12.198,56.569,60.045,34.279,68.392,87.977,95.546,19.638,56.463,73.921
SULAWESI TENGGARA,BUTON UTARA,70.549,47.197,13.095,32.737,63.998,28.766,69.172,88.427,93.605,20.849,50.679,62.563
SULAWESI TENGGARA,MUNA BARAT,69.137,46.855,11.088,33.756,61.389,26.997,63.491,85.614,95.272,15.985,69.267,71.162
SULAWESI TENGGARA,KONAWE SELATAN,61.454,36.611,11.931,44.517,61.773,34.225,74.091,90.097,97.592,22.356,68.133,70.231
SULAWESI TENGGARA,WAKATOBI,77.888,44.877,9.299,37.457,64.572,37.382,63.198,84.739,96.378,12.174,63.264,58.689
SULAWESI TENGGARA,BUTON SELATAN,73.995,41.485,8.891,39.732,44.488,27.760,73.054,84.513,91.112,16.346,60.487,51.543
SULAWESI TENGGARA,KOLAKA TIMUR,61.565,33.247,8.119,31.576,58.417,25.859,67.416,90.760,98.385,17.462,60.267,64.819
SULAWESI TENGGARA,BOMBANA,64.908,39.339,11.535,33.778,50.725,25.942,61.522,86.920,97.358,13.308,62.686,47.922
SULAWESI TENGGARA,KONAWE UTARA,55.255,27.884,10.381,39.233,51.613,25.882,81.291,85.948,95.065,19.565,56.470,70.726
SULAWESI TENGGARA,KONAWE KEPULAUAN,49.702,15.630,9.325,27.797,47.772,22.198,49.972,74.627,100.000,10.375,39.544,70.112
