PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM
SULAWESI UTARA,KOTAMOBAGU,65.899,67.032,16.450,72.228,76.119,46.952,75.275,70.302,85.175,28.292,66.385,69.671
SULAWESI UTARA,MINAHASA,67.065,61.206,14.420,74.960,65.852,41.752,83.038,81.596,97.358,15.722,51.339,73.975
SULAWESI UTARA,MINAHASA UTARA,66.699,54.446,15.444,74.501,69.622,44.626,78.435,86.957,89.190,25.687,64.426,71.367
SULAWESI UTARA,MINAHASA SELATAN,73.050,55.825,13.553,67.164,64.529,37.738,81.583,86.029,94.842,15.688,63.522,79.791
SULAWESI UTARA,BOLAANG MONGONDOW,64.531,57.039,12.803,67.432,67.628,40.022,83.645,87.565,91.186,21.089,65.934,69.482
SULAWESI UTARA,BOLAANG MONGONDOW TIMUR,65.447,50.392,17.964,56.475,60.333,34.219,87.600,84.688,96.398,24.799,45.836,67.507
SULAWESI UTARA,MINAHASA TENGGARA,65.682,50.733,15.005,74.926,65.596,36.900,71.396,78.100,97.184,8.894,71.338,73.216
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,66.676,44.522,13.547,53.895,64.381,40.772,82.207,83.737,96.675,19.396,68.896,64.530
SULAWESI UTARA,BOLAANG MONGONDOW SELATAN,54.878,46.966,14.438,48.913,49.491,29.869,86.583,86.236,92.932,25.540,60.686,64.051
SULAWESI UTARA,KEP. SIAU TAGULANDANG BIARO,69.248,56.518,10.110,58.378,42.175,24.474,83.031,71.451,96.867,10.009,55.010,61.980
SULAWESI UTARA,KEPULAUAN SANGIHE,63.866,53.420,12.318,41.998,51.953,28.519,71.258,86.534,85.361,12.726,61.847,57.357
SULAWESI UTARA,KEPULAUAN TALAUD,63.585,42.074,9.399,42.816,67.007,27.328,69.259,79.269,91.199,15.923,46.458,68.254
