PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM
SUMATERA BARAT,PASAMAN BARAT,73.717,76.470,41.748,64.619,61.229,58.859,88.222,81.647,81.921,70.421,76.618,80.845
SUMATERA BARAT,TANAH DATAR,74.088,78.633,30.509,69.063,63.845,42.635,88.463,84.960,89.497,49.533,74.571,74.776
SUMATERA BARAT,AGAM,69.739,76.989,29.649,72.228,63.680,49.493,83.639,85.341,85.591,44.210,73.096,71.122
SUMATERA BARAT,LIMA PULUH KOTA,66.075,75.199,29.365,64.949,65.427,39.553,76.645,86.822,86.110,48.402,77.799,76.763
SUMATERA BARAT,PADANG PARIAMAN,70.858,78.638,32.933,62.894,59.038,53.866,74.035,82.956,81.205,48.892,68.491,74.270
SUMATERA BARAT,SAWAHLUNTO,65.564,76.641,24.011,89.340,73.752,48.870,75.628,86.950,91.183,30.260,65.774,71.261
SUMATERA BARAT,PASAMAN,71.295,70.394,34.415,60.574,55.266,44.124,72.507,83.047,81.897,51.828,70.730,70.752
SUMATERA BARAT,SOLOK,69.389,73.421,23.785,61.816,56.243,42.918,75.560,81.132,88.509,42.399,76.380,74.814
SUMATERA BARAT,DHARMASRAYA,61.055,69.907,30.491,71.072,65.566,40.013,63.708,89.805,89.204,50.447,73.724,68.619
SUMATERA BARAT,PARIAMAN,66.097,71.062,19.941,78.189,75.169,45.003,75.808,72.189,92.661,27.627,70.174,73.312
SUMATERA BARAT,SIJUNJUNG,65.037,67.732,28.163,70.942,54.702,38.053,69.205,90.200,90.012,41.959,75.003,71.411
SUMATERA BARAT,SOLOK SELATAN,74.422,73.479,25.819,61.926,61.476,39.866,54.993,86.707,75.528,43.212,72.373,58.674
SUMATERA BARAT,PESISIR SELATAN,64.849,61.628,20.921,55.067,67.442,38.324,69.316,91.237,89.205,31.457,62.432,61.920
SUMATERA BARAT,KEPULAUAN MENTAWAI,55.719,46.069,14.738,24.666,41.609,19.216,42.133,59.460,89.110,29.331,53.781,67.163
