PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM
SUMATERA UTARA,LABUHANBATU SELATAN,64.349,71.425,18.870,77.133,73.645,45.163,72.475,96.209,93.050,48.611,58.303,65.922
SUMATERA UTARA,DELI SERDANG,58.105,69.548,18.423,88.474,71.636,47.075,72.121,86.759,94.047,25.703,59.188,70.834
SUMATERA UTARA,LANGKAT,61.889,70.574,14.674,85.214,73.966,44.818,60.520,93.012,93.308,30.200,63.602,72.034
SUMATERA UTARA,LABUHANBATU UTARA,61.133,71.730,15.726,76.926,68.156,40.366,63.701,92.977,93.180,37.128,55.938,71.319
SUMATERA UTARA,BATU BARA,60.770,72.552,15.476,76.461,83.793,44.518,69.559,91.053,89.021,24.892,51.867,52.691
SUMATERA UTARA,SERDANG BEDAGAI,62.119,68.261,14.716,84.065,80.608,45.512,59.502,90.704,96.691,25.900,50.822,69.977
SUMATERA UTARA,KARO,49.272,68.284,13.599,86.952,56.959,44.525,86.723,89.510,94.519,12.461,59.018,68.770
SUMATERA UTARA,ASAHAN,62.815,65.649,16.266,84.467,78.125,46.361,54.424,90.523,94.009,35.082,52.307,68.386
SUMATERA UTARA,SIMALUNGUN,52.726,64.765,13.286,83.262,76.898,41.426,70.920,93.420,95.801,19.924,47.457,71.255
SUMATERA UTARA,LABUHANBATU,61.746,65.087,13.676,79.142,60.409,43.610,64.045,94.255,92.103,36.753,51.164,67.416
SUMATERA UTARA,PADANGSIDIMPUAN,61.888,72.415,13.320,70.767,49.715,45.761,87.076,73.636,96.124,14.887,49.863,65.810
SUMATERA UTARA,DAIRI,49.315,72.007,13.027,67.850,49.975,41.167,76.130,90.262,95.938,9.828,42.185,59.521
SUMATERA UTARA,HUMBANG HASUNDUTAN,49.424,52.726,13.302,65.228,54.491,37.364,80.867,90.490,95.441,7.920,53.832,65.935
SUMATERA UTARA,PAKPAK BHARAT,59.132,62.785,11.227,61.882,42.169,34.538,65.253,84.189,90.445,8.957,33.203,69.385
SUMATERA UTARA,TAPANULI SELATAN,50.122,51.880,13.506,56.649,41.463,36.129,76.162,91.935,98.273,14.409,42.108,41.166
SUMATERA UTARA,GUNUNGSITOLI,60.340,61.381,9.652,50.114,59.065,32.942,53.681,81.469,85.639,12.651,28.987,68.410
SUMATERA UTARA,TOBA SAMOSIR,47.887,52.152,12.306,71.892,60.713,35.684,60.739,87.929,97.432,5.370,37.009,65.325
SUMATERA UTARA,MANDAILING NATAL,52.399,49.332,14.320,60.082,39.015,32.570,71.521,89.061,93.947,21.227,34.497,66.038
SUMATERA UTARA,TAPANULI TENGAH,52.986,55.196,12.493,52.076,44.659,34.706,64.775,87.684,91.862,18.461,23.265,66.543
SUMATERA UTARA,SAMOSIR,49.056,49.971,15.965,62.601,36.652,34.084,62.933,87.978,93.103,6.537,32.860,68.252
SUMATERA UTARA,TAPANULI UTARA,52.109,48.938,13.190,57.228,52.600,35.829,70.225,87.976,97.238,5.202,16.038,49.955
SUMATERA UTARA,PADANG LAWAS,50.030,49.540,14.529,40.494,44.442,36.954,67.249,87.375,96.093,14.092,20.360,62.591
SUMATERA UTARA,NIAS UTARA,55.415,41.867,8.335,27.100,38.936,28.977,48.490,85.513,83.872,25.862,26.874,64.823
SUMATERA UTARA,PADANG LAWAS UTARA,41.195,35.047,12.785,41.039,38.972,26.803,58.122,90.897,97.756,11.212,20.342,60.832
SUMATERA UTARA,NIAS,52.528,33.383,6.658,32.684,45.736,23.573,51.095,86.352,92.362,16.665,21.730,66.308
SUMATERA UTARA,NIAS BARAT,64.812,28.957,5.875,27.634,34.376,27.229,46.113,74.848,86.368,21.936,31.029,64.421
SUMATERA UTARA,NIAS SELATAN,50.857,34.629,4.269,19.807,40.164,24.222,44.493,76.970,82.567,14.677,28.032,62.073
